"project","phase","task_id","task_title","status","branch","commit","pull_request","learn_gate","coding_gate","tests","review_status","environment","artifact_links","blocker","next_action","updated_date"
"P2","4","P2-12","RAG and application-level baseline comparison","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","5","P2-13","Evaluation runner, metric registry and reports","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","5","P2-14","Human rubric and judge calibration","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","5","P2-15","Regression gates and leaderboard","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","6","P2-16","SFT dataset design and packing","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","6","P2-17","Tiny local SFT smoke experiment","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","6","P2-18","Managed Bedrock or SageMaker SFT baseline","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","7","P2-19","LoRA architecture and target-module experiment","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","7","P2-20","QLoRA and quantized training","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","7","P2-21","Adapter lifecycle and multi-adapter decision","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","8","P2-22","Preference rubric and pair construction","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","8","P2-23","DPO baseline","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","8","P2-24","ORPO/KTO or alternative decision experiment","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","9","P2-25","Reward contract and deterministic verifiers","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","9","P2-26","GRPO or managed reinforcement fine-tuning smoke run","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","9","P2-27","Reward-hacking and distribution-shift review","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","10","P2-28","Embedding training dataset and hard-negative mining","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","10","P2-29","Dense, Matryoshka and sparse embedding experiments","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","10","P2-30","Cross-encoder reranker training","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","11","P2-31","Teacher data and distillation design","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","11","P2-32","Teacher-student experiment","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","12","P2-33","Experiment tracking and lineage","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","12","P2-34","SageMaker/Step Functions training pipeline","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","12","P2-35","Model/adapter registry and approval workflow","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","13","P2-36","Inference packaging and deployment options","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","13","P2-37","Shadow, canary and champion/challenger release","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","13","P2-38","Production monitoring and drift","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","13","P2-39","Safety guardrail and red-team release gate","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","14","P2-40","FastAPI control-plane API","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","14","P2-41","Experiment, dataset and release dashboard","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","15","P2-42","Full pipeline release rehearsal","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","15","P2-43","Incident, rollback and compromised-data drills","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","15","P2-44","Maintenance and retraining governance","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
"P2","15","P2-45","Interview defense and portfolio case study","NOT_STARTED","","","","CLOSED","CLOSED","","","LOCAL","","","Read task assignment and prerequisites",""
